Year,Age dependency ratio (% of working-age population),"Age dependency ratio, old (% of working-age population)","Age dependency ratio, young (% of working-age population)","Population ages 00-04, female (% of female population)","Population ages 00-04, male (% of male population)",Population ages 0-14 (% of total population),"Population ages 0-14, female","Population ages 0-14, female (% of female population)","Population ages 0-14, male","Population ages 0-14, male (% of male population)","Population ages 0-14, total","Population ages 05-09, female (% of female population)","Population ages 05-09, male (% of male population)","Population ages 10-14, female (% of female population)","Population ages 10-14, male (% of male population)","Population ages 15-19, female (% of female population)","Population ages 15-19, male (% of male population)",Population ages 15-64 (% of total population),"Population ages 15-64, female","Population ages 15-64, female (% of female population)","Population ages 15-64, male","Population ages 15-64, male (% of male population)","Population ages 15-64, total","Population ages 20-24, female (% of female population)","Population ages 20-24, male (% of male population)","Population ages 25-29, female (% of female population)","Population ages 25-29, male (% of male population)","Population ages 30-34, female (% of female population)","Population ages 30-34, male (% of male population)","Population ages 35-39, female (% of female population)","Population ages 35-39, male (% of male population)","Population ages 40-44, female (% of female population)","Population ages 40-44, male (% of male population)","Population ages 45-49, female (% of female population)","Population ages 45-49, male (% of male population)","Population ages 50-54, female (% of female population)","Population ages 50-54, male (% of male population)","Population ages 55-59, female (% of female population)","Population ages 55-59, male (% of male population)","Population ages 60-64, female (% of female population)","Population ages 60-64, male (% of male population)",Population ages 65 and above (% of total population),"Population ages 65 and above, female","Population ages 65 and above, female (% of female population)","Population ages 65 and above, male","Population ages 65 and above, male (% of male population)","Population ages 65 and above, total","Population ages 65-69, female (% of female population)","Population ages 65-69, male (% of male population)","Population ages 70-74, female (% of female population)","Population ages 70-74, male (% of male population)","Population ages 75-79, female (% of female population)","Population ages 75-79, male (% of male population)","Population ages 80 and above, female (% of female population)","Population ages 80 and above, male (% of male population)",Population growth (annual %),"Population, female","Population, female (% of total population)","Population, male","Population, male (% of total population)","Population, total",Sex ratio at birth (male births per female births),POP,NMR,DEATHS,BIRTHS
1971,101.56557776988,5.74727876199483,95.8182990078851,18.5526290346811,18.8024022208834,47.5370342653029,954573.0,47.3282516551235,954231.0,47.7477427890341,1908804.0,15.0868726012299,15.1816827154983,13.6887500192125,13.7636578526523,11.5755268307751,11.6105507975045,49.6116579083096,1000681.0,49.6143127215322,991428.0,49.6089786057832,1992108.0,8.93181630001006,8.9556383738874,5.91310310428926,6.07387900028221,4.68060442685105,4.90234097445864,4.62076067506925,4.87682163079614,4.25292240293239,4.52307849349807,3.42128265934328,3.45436841125573,2.38780040249509,2.1576104687353,2.07715332147697,1.64016824753163,1.75334259828977,1.41452220783354,2.85130782638754,61666.0,3.05743562334432,52826.0,2.64327860518273,114492.0,1.23758068618522,1.07604063880421,0.914414510448858,0.787697074382382,0.538916039761636,0.459123015245556,0.366524386948608,0.320417876750577,3.00931354381668,2016919.0,50.2295535466801,1998484.0,49.7704464533199,4015403.0,1.023,3880225,,,
1972,100.416235561511,5.63926735950414,94.7769682020068,18.6733588915063,18.9010217857941,47.2900593496026,978110.0,47.1051769146176,977607.0,47.4764950416193,1955718.0,14.8505891936654,14.9245801645347,13.5812288294458,13.6508930912905,11.6021921178055,11.6376011344542,49.8961632825581,1035562.0,49.8720044576305,1027934.0,49.9205250735744,2063495.0,9.21206709851166,9.21661470322562,6.1537550215164,6.29058733257574,4.59970059325109,4.80588983750498,4.43564572914356,4.67636974659324,4.19487300256039,4.46288256262323,3.4825238105902,3.57287508377284,2.44767545599089,2.26754858824558,1.99923956368582,1.6059374301893,1.74433206457496,1.3842186543897,2.81377736783926,62767.0,3.02281862775198,53599.0,2.60297988480628,116366.0,1.23873101046286,1.06236098565421,0.882472135595571,0.767844828423517,0.537915985512701,0.45783676680556,0.363699496180842,0.314937303922997,2.94896268963442,2076439.0,50.2091484650638,2059140.0,49.7908515349362,4135579.0,1.023,3992121,,,
1973,99.3362142309604,5.54315403068278,93.7930602002776,18.788804985375,18.9914604318259,47.0527008608671,1002506.0,46.8948761164071,1001696.0,47.21172034935,2004202.0,14.6919715049259,14.7444174196162,13.4140996261062,13.4758424979079,11.6166683740509,11.6533751172108,50.1664931519295,1071272.0,50.1116114760547,1065561.0,50.2217902858141,2136834.0,9.44672329569136,9.45121426734973,6.41468949228941,6.51375080919343,4.57207102905688,4.76386634092335,4.24589046638722,4.47447732644141,4.12758978619339,4.38275891891994,3.51293144781976,3.65445537718017,2.52910388521139,2.39712138054585,1.92485357425695,1.58416919548204,1.72109012509747,1.34660155256735,2.78080598720338,63994.0,2.99351240753812,54453.0,2.56648936483589,118448.0,1.24929073386183,1.05447889592906,0.849575703313682,0.746472835727195,0.536516271839901,0.457295914171177,0.358129698522715,0.308241719008451,2.95206833272967,2137773.0,50.1885439644802,2121711.0,49.8114560355198,4259484.0,1.022,4109838,,,
1974,98.3336581342741,5.45172727030206,92.881930863972,18.8845738217307,19.0582994004744,46.8311550132746,1027738.0,46.7035179259079,1026449.0,46.9596531997384,2054187.0,14.622291255218,14.6534136177799,13.1966528489592,13.2479401814841,11.6168262776987,11.6555338829538,50.4200797493234,1107549.0,50.3303934729282,1104061.0,50.5103710910113,2211611.0,9.58663666215569,9.59705354281465,6.72756637180206,6.78885164617351,4.60328698448303,4.78083311392588,4.07185359349765,4.28895629838163,4.03100031901,4.27230344428145,3.52049343848242,3.70018183178193,2.6126327958636,2.52944958885979,1.87859170264996,1.59096518615626,1.68150532728517,1.30624255568241,2.74876523740191,65271.0,2.96608860116389,55300.0,2.52997570925032,120571.0,1.26020309394254,1.0463619575613,0.823768335122274,0.727647374899436,0.529979214362903,0.453836023829136,0.352137957736174,0.302130352960445,2.93537515995271,2200558.0,50.168100312582,2185811.0,49.831899687418,4386369.0,1.022,4226380,,,
1975,97.4108750591806,5.35350740177776,92.0573676574028,18.9543766531398,19.0973983686386,46.6323689765346,1053885.0,46.5367190225335,1051920.0,46.7285927131578,2105804.0,14.6284381996176,14.638807423485,12.9539041697761,12.9923869210342,11.5978106798903,11.6385533284232,50.6557705952226,1144281.0,50.5283865355488,1143210.0,50.7839188033011,2287491.0,9.63040320052282,9.63997572770249,7.07601241703943,7.11366222947982,4.69429884793542,4.85732473437737,3.92880956271002,4.13521944129293,3.9087400590825,4.13881764059408,3.50138874783077,3.70501251373757,2.68728224919744,2.653116706928,1.86723659052472,1.62938458353731,1.63640418081541,1.27285189722832,2.7118604282428,66464.0,2.93489444191766,55997.0,2.48748848354113,122461.0,1.26153058115454,1.03141716634253,0.80774784401867,0.712176928346081,0.51836282306602,0.446887468760078,0.347253193678437,0.297006920092434,2.9070836928786,2264630.0,50.1495209218567,2251126.0,49.8504790781433,4515756.0,1.022,4356863,,,
1976,96.6620972689387,5.2592075479681,91.4028897209706,19.018640787281,19.1345998900253,46.4771254808575,1081552.0,46.4105418789603,1078802.0,46.5440708704545,2160353.0,14.6783138778077,14.6699476423075,12.7135872138716,12.7395233381216,11.5464702311899,11.5891253217212,50.8486282990409,1181155.0,50.6846355379687,1182395.0,51.0135121288166,2363550.0,9.65546480100738,9.66689842314274,7.36776790083936,7.38629389468016,4.84036971327461,4.98807816787122,3.82041627608645,4.0153697040715,3.76774292659137,3.98547074572446,3.4588904353565,3.67444391928317,2.75579240564015,2.76949348446473,1.8865855890436,1.69356242637166,1.5851352589394,1.24477604148578,2.67424622010164,67694.0,2.90482258307102,56611.0,2.44241700072892,124304.0,1.25746625955496,1.01218544343542,0.800763645562211,0.699950578273035,0.502896390556044,0.43743944975562,0.34369628739781,0.292841529264846,2.89089391293466,2330401.0,50.135482348355,2317807.0,49.8645391653169,4648207.0,1.022,4502352,,,
1977,96.2114279033803,5.17440894575243,91.0370189576279,19.1003321236583,19.1962860624008,46.3974091266778,1111450.0,46.353844424662,1107855.0,46.4411975600089,2219305.0,14.7421657331879,14.7181272860769,12.5113465678157,12.5267842115313,11.4485383493661,11.4935628812486,50.9654310498381,1217286.0,50.7678130948933,1220519.0,51.16406389351,2437805.0,9.66411656921077,9.68044232227158,7.58840104990029,7.59358465864921,5.03085911947089,5.1605732214267,3.7477194780193,3.93016056798144,3.61248861693966,3.81766845154717,3.4104034550703,3.62454336102634,2.80529487730484,2.86476569592,1.93452073744923,1.78044397810858,1.52547084216192,1.21831875533038,2.63715982348411,69015.0,2.8783424804447,57127.0,2.39473854648113,126142.0,1.25073428168015,0.989771328909804,0.80164687625052,0.690609790272524,0.484724960030261,0.425550109924521,0.341236362483768,0.288807317374279,2.86390960667022,2397751.0,50.1280509578003,2385501.0,49.8719490421997,4783252.0,1.021,4657072,,,
1978,96.1222647914936,5.09639848025709,91.0258663112365,19.2099739601963,19.2939210548614,46.4128107697098,1144452.0,46.3869645743964,1139964.0,46.4387876980635,2284417.0,14.8021155288549,14.7637373470731,12.3748750853453,12.381129296129,11.2970473022994,11.3442084954668,50.9886066555904,1252365.0,50.7609179613442,1257270.0,51.2174470255438,2509635.0,9.65341262479559,9.67720778501268,7.76119499777986,7.76922707156033,5.23080053396898,5.33030005279521,3.71427430741398,3.88421634956949,3.45101876248007,3.64474361731944,3.35362029065925,3.55609980250679,2.83016936917365,2.92917701387667,2.00015442704022,1.88201084583146,1.46922534573316,1.20025599160491,2.59858257469978,70367.0,2.85211746425936,57534.0,2.34376527639272,127901.0,1.23529472562753,0.961801685536067,0.810093448625346,0.684830501293809,0.467699112085051,0.412910710910359,0.339030177921432,0.284222378652484,2.85847530507977,2467184.0,50.1261186362405,2454768.0,49.8738610466211,4921953.0,1.021,4818992,0.25,95532.0,246803.0
1979,96.2597368441409,5.01798463763856,91.2417522065023,19.3520494329582,19.43665767555,46.4903158497974,1182190.0,46.4747213538554,1176902.0,46.5059909604109,2359092.0,14.8288063818144,14.7771557143907,12.2938655390828,12.2921775704701,11.0954669681664,11.1419574290517,50.9528860111612,1289775.0,50.7041240258392,1295765.0,51.2029339544132,2585540.0,9.63306611398703,9.66393561169757,7.85821046904386,7.8728119223313,5.47702034179755,5.54504660074937,3.73117723278589,3.88760419276343,3.30200398784776,3.48365595187948,3.27100617676104,3.45947240348907,2.8348549844952,2.9614375143738,2.06665178037903,1.98368321764482,1.43466597057547,1.20332911043267,2.55679813904139,71763.0,2.82115462030532,57979.0,2.29107508517588,129742.0,1.20850185239931,0.931066613030823,0.819898982910122,0.678344580790834,0.456161193335136,0.401893429582802,0.336592591660744,0.279770461771421,3.04977646065132,2543728.0,50.1289025996113,2530646.0,49.8710974003887,5074374.0,1.021,4975045,0.24,95233.0,253666.0
1980,96.488503199214,4.93448051714635,91.5540226820676,19.5222059914117,19.6209967965774,46.5951085762896,1225485.0,46.5822550487513,1219608.0,46.608031199215,2445093.0,14.8139785669677,14.7501894060627,12.2460704903719,12.2368449965749,10.862137320259,10.9033689916719,50.8935677661011,1332097.0,50.634693110344,1338559.0,51.1538340277426,2670656.0,9.60677725664333,9.6416618817552,7.88830693640981,7.90136171733259,5.76248888645617,5.80917231700222,3.80431952422059,3.94602810948387,3.18097277671156,3.35036156733636,3.16578727603287,3.34136179376379,2.81479124783003,2.95639695689185,2.12353737400691,2.07518345876011,1.4255745117738,1.22893723374476,2.5113236576093,73217.0,2.78305184090461,58566.0,2.23813477304233,131783.0,1.17627762516255,0.903932671757621,0.822753847785407,0.666231645764326,0.450395488214797,0.392512417681211,0.333624879741858,0.275458037839175,3.35547032700799,2630799.0,50.1340249092335,2616733.0,49.8659750907665,5247532.0,1.021,5137743,0.23,96241.0,260803.0
