Year,Age dependency ratio (% of working-age population),"Age dependency ratio, old (% of working-age population)","Age dependency ratio, young (% of working-age population)","Population ages 00-04, female (% of female population)","Population ages 00-04, male (% of male population)",Population ages 0-14 (% of total population),"Population ages 0-14, female","Population ages 0-14, female (% of female population)","Population ages 0-14, male","Population ages 0-14, male (% of male population)","Population ages 0-14, total","Population ages 05-09, female (% of female population)","Population ages 05-09, male (% of male population)","Population ages 10-14, female (% of female population)","Population ages 10-14, male (% of male population)","Population ages 15-19, female (% of female population)","Population ages 15-19, male (% of male population)",Population ages 15-64 (% of total population),"Population ages 15-64, female","Population ages 15-64, female (% of female population)","Population ages 15-64, male","Population ages 15-64, male (% of male population)","Population ages 15-64, total","Population ages 20-24, female (% of female population)","Population ages 20-24, male (% of male population)","Population ages 25-29, female (% of female population)","Population ages 25-29, male (% of male population)","Population ages 30-34, female (% of female population)","Population ages 30-34, male (% of male population)","Population ages 35-39, female (% of female population)","Population ages 35-39, male (% of male population)","Population ages 40-44, female (% of female population)","Population ages 40-44, male (% of male population)","Population ages 45-49, female (% of female population)","Population ages 45-49, male (% of male population)","Population ages 50-54, female (% of female population)","Population ages 50-54, male (% of male population)","Population ages 55-59, female (% of female population)","Population ages 55-59, male (% of male population)","Population ages 60-64, female (% of female population)","Population ages 60-64, male (% of male population)",Population ages 65 and above (% of total population),"Population ages 65 and above, female","Population ages 65 and above, female (% of female population)","Population ages 65 and above, male","Population ages 65 and above, male (% of male population)","Population ages 65 and above, total","Population ages 65-69, female (% of female population)","Population ages 65-69, male (% of male population)","Population ages 70-74, female (% of female population)","Population ages 70-74, male (% of male population)","Population ages 75-79, female (% of female population)","Population ages 75-79, male (% of male population)","Population ages 80 and above, female (% of female population)","Population ages 80 and above, male (% of male population)",Population growth (annual %),"Population, female","Population, female (% of total population)","Population, male","Population, male (% of total population)","Population, total",Researchers in R&D (per million people),Sex ratio at birth (male births per female births),Technicians in R&D (per million people),POP,NMR,DEATHS,BIRTHS
1970,51.1785379431713,11.6483027280571,39.5302352151141,6.49792413929449,8.03178646202088,26.1480470780098,16738263.0,23.5805709323015,17359836.0,29.2151235319213,34098099.0,8.04495933007597,9.96535367240445,9.03768746293106,11.217983397496,8.55850184991668,10.5989160412767,66.1469551669225,46918903.0,66.098525715254,39339373.0,66.2048084136358,86258275.0,7.1422211709549,8.95761585761976,4.69782034625921,5.62352340229704,8.42864758381111,9.85521013255788,6.58213206428107,7.60826218251621,8.33358940322535,8.69731883174163,6.27889259186037,4.53272752024705,4.60984974722513,3.24581078530158,6.2218565537888,3.96997689401358,5.24501440393143,3.11544676606441,7.7049977550677,7326116.0,10.3209033524444,2721509.0,4.58006805444288,10047625.0,4.21386237184737,2.0190139815088,2.76939729432033,1.21195175155591,1.70194735504279,0.754564727042507,1.63569633123394,0.594537594335668,0.569083468255144,70983282.0,54.4333627148761,59420718.0,45.5666372851239,130404000.0,,1.049,,130245476,,,
1971,50.1183600667555,11.9145024798459,38.2038575869096,6.51310034766333,8.03562216211002,25.4491574773418,16380936.0,22.9332344735186,16996906.0,28.4580449631536,33377842.0,7.53556057978233,9.30478160995386,8.88457354607297,11.1176411910897,8.66277035667808,10.5419837964497,66.6141032902553,47445857.0,66.4239776207113,39921870.0,66.8414817700232,87367727.0,7.67510068850355,9.61086056023909,4.2461077020652,5.13216129662269,8.39319545844641,9.79297335694891,6.49074521906287,7.48976757839201,8.13651110468012,8.8547190158195,6.95391637376918,5.22787181186274,4.58786234508249,3.21726307958034,5.89351773961627,3.76705782974993,5.38425063280711,3.20682344435828,7.93673923240291,7602017.0,10.6427879057701,2807414.0,4.70047326682317,10409430.0,4.31247427062003,2.12675082904764,2.89707577289451,1.2104214857621,1.77325473289783,0.76613265078104,1.65998312935771,0.597168301232386,0.574250600262548,71428810.0,54.4613698846935,59726190.0,45.5386301153065,131155000.0,,1.05,,130977408,,,
1972,49.3121982357619,12.2376440219662,37.0745542137957,6.56204652678445,8.07466748468739,24.8302245531,16064802.0,22.3829000064633,16688499.0,27.7511036121428,32753301.0,7.08874706187209,8.71989084202239,8.7321064178068,10.9565452854331,8.70318213776497,10.5045614700425,66.9737643501438,47808760.0,66.6113831263984,40535663.0,67.4062659279518,88344423.0,7.88436224251872,9.83576645441578,4.45770641399283,5.44865893758557,7.8193415067522,9.08106875048369,6.7475486293434,7.76294308718925,7.81094670579944,8.63368613480569,7.42814476101297,6.05396323732369,4.83984846269308,3.32828678087253,5.37446565368796,3.45644375034603,5.5458366128328,3.30088732488702,8.19601109675612,7899095.0,11.0057168671383,2912181.0,4.84263045990539,10811276.0,4.41035817076413,2.23597364940063,3.05669599284952,1.23923698876666,1.85565226093471,0.766906109261899,1.68301044258993,0.600513712476194,0.57324610343637,71772657.0,54.4107353892565,60136343.0,45.5892646107435,131909000.0,,1.049,,131768681,,,
1973,48.4675032208302,12.5233166352854,35.9441865855448,6.66139822042305,8.17747400929514,24.2101376097673,15750416.0,21.8424392238511,16368932.0,27.029384294263,32119347.0,6.69743730436003,8.22264911584348,8.48360369906805,10.6292611691244,8.7664480164746,10.5597629811252,67.3548066589449,48181567.0,66.8174713648713,41177382.0,67.9946181971418,89358948.0,8.04562110446751,9.97384137688428,5.15978456883921,6.31796390900174,6.69958414482395,7.74695033021935,7.23027545264478,8.30609781822937,7.32758264942605,8.13526782012905,7.75662088730607,6.88441229878541,5.17090847315551,3.45641974814134,4.9944646310852,3.23260165940192,5.66618143664838,3.38130025522415,8.43505573128781,8177252.0,11.3400894112776,3013452.0,4.97599750859524,11190704.0,4.50428702119908,2.31734897934288,3.23274020643044,1.30187565809414,1.89803800771925,0.754017182201258,1.70502417592885,0.602755688956958,0.574501349565654,72109234.0,54.3527383888757,60559766.0,45.6472616111243,132669000.0,,1.051,,132556176,,,
1974,47.7182696242573,12.8489277024397,34.8693419218177,6.76979637577374,8.2991998782517,23.6053004787135,15459077.0,21.3386175407602,16037947.0,26.2979593428096,31497025.0,6.42359448244961,7.86931608319984,8.14522668253682,10.1294433813581,8.74156542924008,10.6231194897846,67.696433363377,48508325.0,66.9574630430083,41820379.0,68.5742777897533,90328705.0,8.17019486666268,10.0253513133007,6.0617254898995,7.40243819274819,5.49333362919509,6.36657472661239,7.82289942061651,8.92295343264786,6.73307682838794,7.48986045782131,7.93519876667752,7.5654973646993,5.54601530649692,3.68725231568302,4.69616347492632,3.05446290864763,5.75728983090572,3.43676758780834,8.69826615790949,8479078.0,11.7039194162315,3127193.0,5.12776286743713,11606270.0,4.60368866760386,2.38520018329708,3.41789176083028,1.38524565462325,1.94485962280479,0.749977414481965,1.73747936499256,0.607339615034833,0.573468037351157,72446480.0,54.2946818639989,60985519.0,45.7053173839543,133432000.0,,1.048,,133378674,,,
1975,47.1031664877587,13.2041250139718,33.899041473787,6.88289495156963,8.41767137264335,23.0443997589498,15202514.0,20.8865182296917,15723070.0,25.6018746039888,30925584.0,6.285078375408,7.6775715163874,7.71854490271404,9.50663171495803,8.65323607256797,10.6438787116565,67.9795017614129,48788547.0,67.0298910423302,42439945.0,69.1049599914893,91228491.0,8.28563081921488,10.0691833610088,6.90941233695336,8.41162319387496,4.55008137019399,5.30068787278361,8.16051992286726,9.24317471311722,6.33188243191844,7.03537395189731,7.97021589094286,8.02008341474442,6.06023679042257,4.12499016528091,4.3908764958441,2.86234611246269,5.71779891140482,3.39361849466292,8.97609847963725,8795193.0,12.0835907279781,3250731.0,5.29316540452193,12045924.0,4.72280770724338,2.46702836446454,3.55208639144988,1.45905680117417,2.03052751054925,0.756422347074424,1.77816911873559,0.6106578918088,0.573923976270934,72786254.0,54.2371487983556,61413746.0,45.7628512016444,134200000.0,,1.052,,134293372,,,
1976,46.5973924826898,13.5557577363298,33.04163474636,6.95624672659585,8.48562256315582,22.539033241052,14989819.0,20.4739277626846,15471008.0,24.9803078616499,30460827.0,6.25308968876374,7.6138104232451,7.26459134732504,8.88087487524899,8.59091303760688,10.6574481823981,68.2140371390566,49107933.0,67.0743431560193,43081292.0,69.5613319988992,92189225.0,8.38456076283917,10.1114401246093,7.40341374901176,8.98606207647917,4.12069199056654,4.83743407188827,8.12988089668013,9.16363075401344,6.26783417562074,6.9442198316485,7.80021912708611,8.12269425322637,6.60291049828695,4.72567196216538,4.34526924279496,2.81814778698951,5.4286496755261,3.1945829554812,9.24692961989145,9116432.0,12.4517290812961,3380516.0,5.45836013945089,12496948.0,4.84047689761697,2.55028807142632,3.64545435257129,1.53574026259979,2.15006793394421,0.763698169292389,1.81572989716363,0.608633636132387,0.703185038023715,73214184.0,54.1737398098321,61932817.0,45.8262609322033,135147000.0,,1.052,,135269263,,,
1977,46.3254554868987,13.9552446876092,32.3702107992895,6.98375473874999,8.50072571746877,22.1220642584193,14822365.0,20.1312177342051,15285765.0,24.4684805511178,30108129.0,6.31027340417187,7.65289456278614,6.83718959128323,8.31486027086287,8.47643059475963,10.5661114772248,68.3408086142317,49344863.0,67.0184676049366,43666978.0,69.8993227693789,93011841.0,8.45104611841909,10.1614002489181,7.61791308549801,9.2173844098812,4.32800145826237,5.13388852999907,7.5663160080321,8.46998720076611,6.51126392041329,7.19164745181621,7.48223682551875,7.8917080194403,7.05451990848077,5.45634677528872,4.57520828393925,2.90508119255396,4.95553140161332,2.90576746349037,9.53712712734903,9461527.0,12.8503146608583,3518503.0,5.63219667950336,12980030.0,4.97392857508178,2.62350944460912,3.73322807249856,1.61805991559445,2.28777167379288,0.786128574922763,1.8553863394851,0.604498744377023,0.70268347396018,73628754.0,54.0990112979488,62471246.0,45.9009887020512,136100000.0,,1.048,,136263686,,,
1978,46.2543452271608,14.3668942736131,31.8874509535477,6.99663408010756,8.48814989529209,21.8027373925944,14714261.0,19.873220123868,15168571.0,24.0697031196871,29882832.0,6.40646770922958,7.74363372485084,6.47011833453082,7.83791949954417,8.25727528699369,10.2782189086214,68.3740369976808,49513119.0,66.8728861407829,44200336.0,70.1377203805352,93713455.0,8.52923255493078,10.3411575219051,7.79539358543873,9.38840959197039,5.0030966853127,5.94552142808927,6.47463108861824,7.19993784359364,6.96844274345215,7.67973863880446,7.01314833538501,7.40678741241421,7.36392674923031,6.18516162054209,4.86656538627807,3.005723614177,4.60117372514325,2.70706380041752,9.8232256097248,9813269.0,13.2538937353491,3650444.0,5.79257649977774,13463713.0,5.07983382336754,2.68026028249797,3.82418827521604,1.68243638535065,2.45272553143826,0.830924174459964,1.89714610532729,0.598955657469152,0.702887650025717,74040649.0,54.0206105361432,63019351.0,45.9793894638568,137060000.0,,1.049,,137245870,,,
1979,46.4287818598262,14.7441287338427,31.6846531259835,7.00020008026391,8.47311266528508,21.638268589739,14700932.0,19.7383506480614,15165721.0,23.8649964262409,29866653.0,6.52372441688921,7.88171006620162,6.21442615090828,7.5101736947542,7.96001324632155,9.81067756232905,68.2925845217903,49641799.0,66.6520512566661,44620406.0,70.2153102395832,94262206.0,8.52817327150315,10.4443972727442,7.93772018633583,9.53008641419179,5.8732762282032,6.94512945464757,5.30911619105398,5.91554470616981,7.53101452984871,8.23658084690359,6.44526103978503,6.79770981834222,7.53742690958526,6.77904296672346,5.19576410431764,3.2022258949036,4.3342855497117,2.55391530262784,10.0691468884707,10136296.0,13.6095980952725,3761845.0,5.91969333417596,13898141.0,5.15238418019827,2.71879029324348,3.90442160671703,1.72941714643355,2.60854610381085,0.878279475433354,1.9442462045464,0.593206419065575,0.703053203604969,74479027.0,53.959752210287,63547973.0,46.040247789713,138027000.0,,1.048,,138163680,,,
