Year,Age dependency ratio (% of working-age population),"Age dependency ratio, old (% of working-age population)","Age dependency ratio, young (% of working-age population)","Population ages 00-04, female (% of female population)","Population ages 00-04, male (% of male population)",Population ages 0-14 (% of total population),"Population ages 0-14, female","Population ages 0-14, female (% of female population)","Population ages 0-14, male","Population ages 0-14, male (% of male population)","Population ages 0-14, total","Population ages 05-09, female (% of female population)","Population ages 05-09, male (% of male population)","Population ages 10-14, female (% of female population)","Population ages 10-14, male (% of male population)","Population ages 15-19, female (% of female population)","Population ages 15-19, male (% of male population)",Population ages 15-64 (% of total population),"Population ages 15-64, female","Population ages 15-64, female (% of female population)","Population ages 15-64, male","Population ages 15-64, male (% of male population)","Population ages 15-64, total","Population ages 20-24, female (% of female population)","Population ages 20-24, male (% of male population)","Population ages 25-29, female (% of female population)","Population ages 25-29, male (% of male population)","Population ages 30-34, female (% of female population)","Population ages 30-34, male (% of male population)","Population ages 35-39, female (% of female population)","Population ages 35-39, male (% of male population)","Population ages 40-44, female (% of female population)","Population ages 40-44, male (% of male population)","Population ages 45-49, female (% of female population)","Population ages 45-49, male (% of male population)","Population ages 50-54, female (% of female population)","Population ages 50-54, male (% of male population)","Population ages 55-59, female (% of female population)","Population ages 55-59, male (% of male population)","Population ages 60-64, female (% of female population)","Population ages 60-64, male (% of male population)",Population ages 65 and above (% of total population),"Population ages 65 and above, female","Population ages 65 and above, female (% of female population)","Population ages 65 and above, male","Population ages 65 and above, male (% of male population)","Population ages 65 and above, total","Population ages 65-69, female (% of female population)","Population ages 65-69, male (% of male population)","Population ages 70-74, female (% of female population)","Population ages 70-74, male (% of male population)","Population ages 75-79, female (% of female population)","Population ages 75-79, male (% of male population)","Population ages 80 and above, female (% of female population)","Population ages 80 and above, male (% of male population)",Population growth (annual %),"Population, female","Population, female (% of total population)","Population, male","Population, male (% of total population)","Population, total",Sex ratio at birth (male births per female births),POP,NMR,DEATHS,BIRTHS
1970,92.9833952403733,10.6555576737927,82.3278375665806,14.6211303393459,15.9067227058889,42.6605812940463,8800272.0,41.1481353633542,9086818.0,44.2352247276695,17887091.0,13.8152760761512,14.830965433279,12.7117289478572,13.4975365885016,10.0978886166156,10.551183789381,51.8179303206955,11261439.0,52.6560100192607,10465222.0,50.9453856118776,21726662.0,7.2577008045731,7.21351154931489,5.47377396088687,5.27060091059112,5.26830617426187,5.04897006095938,5.5339372180724,5.20924624773166,4.74008334343497,4.40078958074322,4.37699502368458,4.06582043137778,3.67757085764203,3.48297425752388,3.41549340639083,3.17586261267807,2.81426061369842,2.52642617157662,5.52148838525818,1325095.0,6.19585461738504,990001.0,4.81938966045292,2315097.0,2.52379650398967,2.15024641417082,1.73464880160351,1.37147277624458,1.10195034953207,0.79613315930973,0.835458962259795,0.50153731072779,2.20151672156355,21386807.0,51.0073791913534,20542041.0,48.9926184236538,41928849.0,1.064,42576676,,,
1971,92.1250424167758,10.6001604450919,81.524881971684,14.5169931403249,15.8177373984752,42.4332410210085,8958849.0,40.895294339147,9252066.0,44.036846850035,18210914.0,13.6692265192324,14.6951937280212,12.7090746795897,13.5239157235386,10.3315361664831,10.816685152856,52.0494342705055,11589897.0,52.9054854234614,10747963.0,51.1568359541821,22337860.0,7.63804774641731,7.64646175003285,5.4963721188706,5.26567601444248,5.10879375306169,4.87702219939587,5.41442037928368,5.0934470978666,4.74679877301087,4.38962650266279,4.34313407453865,4.00472093334793,3.66766102326559,3.44359307835378,3.3676490931775,3.12053951320926,2.79107229535237,2.49906371201459,5.51732470848592,1358051.0,6.19922023739164,1009799.0,4.80631719578292,2367849.0,2.48285058396606,2.11101675580074,1.76042863046766,1.39145828820069,1.10628914210661,0.796303501477892,0.849651880851309,0.507538650303595,2.32851464073448,21906796.0,51.0450123010608,21009828.0,48.9549876989392,42916624.0,1.064,43614366,,,
1972,90.8897591031933,10.4556335627754,80.4341255404179,14.5434538805371,15.8792456907266,42.1364278095903,9100161.0,40.5659605037606,9400267.0,43.7771045040352,18500428.0,13.4591738557976,14.4955420225541,12.5633327674259,13.4023167907545,10.6089326943014,11.1298374506896,52.3862571097598,11950299.0,53.2710777180391,11050421.0,51.4618796678484,23000720.0,8.03884358471682,8.09874809193722,5.55773723764456,5.29120434722219,4.98790030123706,4.73580046777299,5.23118032849513,4.91314159429582,4.79718347034022,4.41933826502534,4.27055743533861,3.91355711567852,3.69138603485272,3.42672299626194,3.28833689248781,3.03591634573102,2.79901973862475,2.49761299323372,5.47731508064988,1382537.0,6.16296177820025,1022334.0,4.76101582811642,2404871.0,2.40602052427548,2.04046961716731,1.79430777337303,1.41812592987317,1.1024363151842,0.790734047803471,0.860197165367542,0.51168623327247,2.27921610438307,22432997.0,51.0932157160502,21473022.0,48.9067842839498,43906019.0,1.064,44655014,,,
1973,89.5132064226301,10.2854990562815,79.2277073663486,14.6331107815311,16.0096326081333,41.8059027786943,9229768.0,40.2048932937271,9537438.0,43.4815359434067,18767205.0,13.0969207308806,14.1306298301294,12.4748617813154,13.341273505144,10.8657892733654,11.4263933809339,52.7667705365016,12323078.0,53.6793596589076,11364602.0,51.811645277334,23687679.0,8.46194013523863,8.5711684457703,5.6597367384496,5.36566581506884,4.89491851607109,4.61814321888295,5.00594648803281,4.68871484104414,4.85620889907371,4.45919465330662,4.18321956725075,3.81255899964503,3.72856397513986,3.41828203245907,3.20124808186149,2.94303655791934,2.82178798442424,2.50848733230378,5.42732668480404,1403981.0,6.11574704736532,1032415.0,4.70681877925933,2436396.0,2.31858038746861,1.96055484216749,1.828072716058,1.44428942703566,1.09905647894945,0.786292651734117,0.870037464889258,0.515681858322072,2.21921710647356,22956827.0,51.1387211249329,21934454.0,48.8612788750671,44891281.0,1.064,45736496,,,
1974,88.1588791414268,10.1460154320894,78.0128637093374,14.6862008415852,16.0945614626392,41.4611645570117,9357760.0,39.8386900286556,9672375.0,43.1617996469634,19030135.0,12.8003557561288,13.830631667993,12.3521334309416,13.2366065163312,11.0625430079354,11.6631115639731,53.1465756735254,12701877.0,54.0755659071073,11691709.0,52.1728325657968,24393586.0,8.72911419069706,8.87049922816468,5.94878493662035,5.65985572326612,4.83220649624468,4.53115059354321,4.79150680988557,4.47339402674027,4.8689660612936,4.46079003825731,4.12347637733369,3.73893335674,3.74985879103327,3.39929948687554,3.13817358326829,2.86920906525082,2.8309356527954,2.50658948298569,5.39225976946296,1429488.0,6.08574406423705,1045489.0,4.66536778723986,2474977.0,2.25358974107358,1.90037757524429,1.84542638019565,1.45548958027893,1.10570106604016,0.789620132431796,0.881026876927661,0.519880499284837,2.21931618420539,23489125.0,51.1760159296893,22409573.0,48.8239840703107,45898698.0,1.064,46902295,,,
1975,86.7493064633721,10.0545585195497,76.6947479438224,14.6929996428274,16.1170422654006,41.0682908286923,9484423.0,39.443167494424,9805195.0,42.7729534536814,19289618.0,12.5947470772904,13.6166934470328,12.1554207743063,13.0392177412479,11.2029506864496,11.8412085000749,53.5477222125895,13097890.0,54.4706060762517,12053269.0,52.5796691446058,25151159.0,8.88293377039382,9.05672730002718,6.37577186314222,6.12110637835842,4.80288975271747,4.48080831548963,4.61301247500888,4.29322615341426,4.81891750343288,4.4102245343343,4.09823430870625,3.69930249195144,3.74894246060366,3.3677478251172,3.10645797126811,2.82137513590393,2.82049528452886,2.48794250993448,5.38398695871816,1463481.0,6.08622642932426,1065356.0,4.64737740171289,2528838.0,2.21971247404614,1.8674373293301,1.84618769822723,1.45208118986618,1.12434629681294,0.801851471404975,0.895979960237953,0.526007411111625,2.30641739232538,24045794.0,51.194359349244,22923821.0,48.8056385217201,46969616.0,1.064,48075207,,,
1976,85.9381035735841,10.0517607719318,75.8863428016523,14.6703564477314,16.0884494887008,40.8126901132035,9664089.0,39.2057027385444,9992762.0,42.497302390323,19656850.0,12.5099590457507,13.5142244222001,12.0253872450623,12.8946284794221,11.1975881573574,11.8574194871559,53.7813385047104,13477166.0,54.674766643214,12425848.0,52.8447536661603,25903014.0,9.07695391518137,9.29945928727818,6.69284791730334,6.48997309992218,4.80864859172126,4.47086501808666,4.46478640856536,4.14464482615528,4.71173463726802,4.31292208461197,4.10516135672396,3.69348136934909,3.72321351889826,3.32278317831314,3.10386523552558,2.79829917424278,2.78996690466955,2.45490614104504,5.40597138208609,1508446.0,6.11953061824158,1095263.0,4.65794394351675,2603709.0,2.2150572942041,1.85991482262226,1.83200193787341,1.43799793079596,1.15684973217322,0.824789706587037,0.915621653990854,0.535241483511489,2.5102063873586,24649701.0,51.1791369797253,23513873.0,48.8208650965326,48163573.0,1.064,49273016,,,
1977,85.1770316726781,10.0701480752259,75.1068835974522,14.5820616924631,15.9835344126252,40.5595039474363,9853332.0,38.975777014023,10190424.0,42.2182369975208,20043756.0,12.5545669165164,13.5506926920704,11.8391484050434,12.6840098928252,11.0676969352497,11.7341204407599,54.0023776689334,13869324.0,54.8614084673511,12817652.0,53.1026627330353,26686976.0,9.31809841809095,9.5927277948874,7.03656356715729,6.89754524216745,4.85423104312518,4.50035759720365,4.3533322729706,4.02984063009361,4.55028720179226,4.16683290182622,4.15092258084907,3.72645783884847,3.66533591274942,3.25617701888096,3.13063659698401,2.79641924701956,2.73430393838261,2.40218402134803,5.43811838363031,1558000.0,6.16281451862584,1129418.0,4.67910026944389,2687418.0,2.23624330649318,1.87426879833792,1.79383391816123,1.40579222539806,1.1985487560707,0.854898228245991,0.934188537900736,0.544141017461921,2.571477717469,25280657.0,51.1566236291727,24137493.0,48.8433763708273,49418150.0,1.063,50533506,,,
1978,83.986236483161,10.06641784846,73.919818634701,14.4386417845549,15.8199822549143,40.1768199644278,10012653.0,38.6190608862987,10357581.0,41.8070110222924,20370233.0,12.66316979691,13.6592800253274,11.5172493048337,12.3277487420507,10.9835333339517,11.6552675927481,54.3518906300486,14304477.0,55.172737583785,13252725.0,53.4928763045063,27557201.0,9.54714407185809,9.8724118125689,7.41459440392199,7.33987328588811,4.95005700973685,4.58874120064155,4.27628856825903,3.94618972186052,4.3577566711459,3.99029309946723,4.20677338890434,3.77208703225278,3.59605960825383,3.18341501496292,3.16903090467142,2.80184905221936,2.67149962308178,2.34274849189678,5.4712894055236,1609583.0,6.20820152991636,1164441.0,4.70011267320132,2774023.0,2.26815305905649,1.89703656503609,1.74621065999828,1.36566079495506,1.23977157689281,0.883805208662781,0.954066233968778,0.553610104547386,2.56369019574667,25926712.0,51.136028474763,24774747.0,48.8639734975669,50701458.0,1.064,51662728,,,
1979,83.299338576952,10.1047639222249,73.1945746547271,14.3733860810111,15.8024073616368,39.9317172450435,10179748.0,38.3618219293311,10517415.0,41.5786264010737,20697164.0,12.7665136131588,13.8173523845036,11.2219222351612,11.9588666549332,10.8212592827869,11.3722306849462,54.5555710899005,14697068.0,55.385093716233,13579841.0,53.6853548437801,28276910.0,9.70627439867913,10.0348271003039,7.64313180462218,7.63994804715068,5.19071449886022,4.85645246197269,4.21550877521035,3.8777605782336,4.18098981937636,3.82726689649643,4.23689281613612,3.8028551928576,3.55924539075373,3.15104886910757,3.20489474271592,2.81685956458851,2.62618218709202,2.30610544812298,5.51271166505601,1659327.0,6.25308435443589,1197987.0,4.73601875514622,2857315.0,2.28831660153192,1.91644721829922,1.71512481777449,1.34365574809241,1.26918211498283,0.906369987970861,0.980460820146649,0.569545800783736,2.20412634134941,26536144.0,51.1970535846531,25295244.0,48.8029444860141,51831389.0,1.064,52668447,,,
